wormbase_gene	wormbase_locus	wormbase_gseq	entrezgene_id	description	uniprot_swissprot_accession	Wormbase_mode_of_regulation	Uniprot_mode_of_regulation
WBGene00001964	hlh-25	C17C3.7	182717	Helix-loop-helix protein 25  [Source:UniProtKB/Swiss-Prot;Acc:Q18054]	Q18054	-1	
WBGene00001965	hlh-26	C17C3.8	173939	Helix-loop-helix protein 26  [Source:UniProtKB/Swiss-Prot;Acc:Q18053]	Q18053		
WBGene00015934	ceh-48	C17H12.9	182756	One cut domain family member  [Source:UniProtKB/TrEMBL;Acc:O45080]			
WBGene00001096	dsc-1	C18B12.3	181599	Homeobox protein dsc-1  [Source:UniProtKB/Swiss-Prot;Acc:Q93246]	Q93246		
WBGene00000995	die-1	C18D1.1	174569	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A131MCL4]			
WBGene00044508	nsy-7	C18F3.4	3896760	Transcription factor nsy-7  [Source:UniProtKB/Swiss-Prot;Acc:H2KYW5]	H2KYW5		
WBGene00015981	elt-7	C18G1.2	178868	Transcription factor elt-7  [Source:UniProtKB/Swiss-Prot;Acc:O61924]	O61924		1
WBGene00016029	elf-1	C24A1.2	175226	ETS domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q400M2]			
WBGene00003637	nhr-47	C24G6.4	178933	Nuclear hormone receptor family member nhr-47  [Source:UniProtKB/Swiss-Prot;Acc:Q17370]	Q17370		
WBGene00006557	tbx-38	C24H11.3	182861	T-box protein 38  [Source:UniProtKB/Swiss-Prot;Acc:Q9XVD5]	Q9XVD5		
WBGene00000095	aha-1	C25A1.11	172889	Aryl hydrocarbon receptor nuclear translocator homolog  [Source:UniProtKB/Swiss-Prot;Acc:O02219]	O02219		
WBGene00001442	fkh-10	C25A1.2	182874	Fork-head domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O17593]			
WBGene00003710	nhr-120	C25B8.6	182882	Nuclear Hormone Receptor family; Nuclear receptor NHR-120  [Source:UniProtKB/TrEMBL;Acc:G5EET0]			
WBGene00016091	nhr-30	C25E10.1	182887	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q18155]			
WBGene00007732	spe-44	C25G4.4	182915	Transcription regulator spe-44  [Source:UniProtKB/Swiss-Prot;Acc:Q18171]	Q18171	1	
WBGene00001840	hel-1	C26D10.2	174333	Spliceosome RNA helicase DDX39B homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q18212]	Q18212		
WBGene00007749	ceh-79	C26E1.3	179809	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O02224]			
WBGene00016138	flh-2	C26E6.2	175670	FLYWCH transcription factor 2  [Source:UniProtKB/Swiss-Prot;Acc:Q18225]	Q18225		
WBGene00000429	ceh-2	C27A12.5	191615	Homeobox protein ceh-2  [Source:UniProtKB/Swiss-Prot;Acc:G5ECT8]	G5ECT8		
WBGene00044386		C27A2.7	3565834	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q4TT89]			
WBGene00007761	rad-54.L2	C27B7.4	177706	Helicase ARIP4  [Source:UniProtKB/TrEMBL;Acc:Q18241]			
WBGene00007772	egrh-1	C27C12.2	181580	Early growth response factor homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18250]	Q18250		
WBGene00007776	dmd-4	C27C12.6	181581	Doublesex- and mab-3-related transcription factor dmd-4  [Source:UniProtKB/Swiss-Prot;Acc:Q18248]	Q18248		
WBGene00003663	nhr-73	C27C7.4	191722	Nuclear receptor domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EGP2]			
WBGene00016162	crh-2	C27D6.4	259434	CREB homolog crh-2  [Source:UniProtKB/Swiss-Prot;Acc:Q4JFH9]	Q4JFH9		
WBGene00000463	ceh-43	C28A5.4	175581	Homeobox protein ceh-43  [Source:UniProtKB/Swiss-Prot;Acc:Q18273]	Q18273		
WBGene00001956	hlh-12	C28C12.8	182980	Helix-loop-helix protein hlh-12  [Source:UniProtKB/Swiss-Prot;Acc:Q18277]	Q18277		
WBGene00003690	nhr-100	C28D4.1	177806	Nuclear hormone receptor family member nhr-100  [Source:UniProtKB/Swiss-Prot;Acc:O17611]	O17611		
WBGene00003728	nhr-138	C28D4.9	3565904	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q95QT4]			
WBGene00016200	dpff-1	C28H8.9	175832	Zinc finger protein dpff-1  [Source:UniProtKB/Swiss-Prot;Acc:Q09477]	Q09477		
WBGene00003633	nhr-43	C29E6.5	178121	Nuclear hormone receptor family member nhr-43  [Source:UniProtKB/Swiss-Prot;Acc:Q18299]	Q18299		
WBGene00001435	fkh-3	C29F7.4	181465	Forkhead box protein fkh-3  [Source:UniProtKB/Swiss-Prot;Acc:A0A078BQN7]	A0A078BQN7		
WBGene00001436	fkh-4	C29F7.5	181466	Forkhead box protein fkh-4  [Source:UniProtKB/Swiss-Prot;Acc:O17617]	O17617		
WBGene00006818	unc-86	C30A5.7	176157	Transcription factor unc-86  [Source:UniProtKB/Swiss-Prot;Acc:P13528]	P13528	1	
WBGene00003114	mab-23	C32C4.5	266926	DM domain-containing protein mab-23  [Source:UniProtKB/Swiss-Prot;Acc:G5ECK3]	G5ECK3		
WBGene00016310	txt-18	C32D5.1	174049	transcellular chaperone signaling (x)cross tissue  [Source:RefSeq peptide;Acc:NP_495276]	Q09262		
WBGene00004771	sem-2	C32E12.5	172162	Transcription factor sem-2  [Source:UniProtKB/Swiss-Prot;Acc:Q8T3B9]	Q8T3B9		
WBGene00003601	nhr-2	C32F10.6	172251	Nuclear hormone receptor family member nhr-2  [Source:UniProtKB/Swiss-Prot;Acc:Q10902]	Q10902		
WBGene00006462	svh-5	C33A11.4	181627	Ets-domain protein  [Source:UniProtKB/TrEMBL;Acc:G5EC57]			
WBGene00000452	ceh-31	C33D12.1	191621	Homeobox protein ceh-31  [Source:UniProtKB/Swiss-Prot;Acc:Q22910]	Q22910		
WBGene00000451	ceh-30	C33D12.7	191620	Homeobox protein ceh-30  [Source:UniProtKB/Swiss-Prot;Acc:Q22909]	Q22909		
WBGene00001250	elt-2	C33D3.1	181250	Transcription factor elt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q10655]	Q10655		1
WBGene00003632	nhr-42	C33G8.6	179084	Nuclear hormone receptor family member nhr-42  [Source:UniProtKB/Swiss-Prot;Acc:O76828]	O76828		
WBGene00007907		C34B4.2	179793	Fork-head domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18419]			
WBGene00004194	prx-5	C34C6.6	174392	TPR_REGION domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q7JM90]			
WBGene00000432	ceh-7	C34C6.8	174391	Homeobox protein ceh-7  [Source:UniProtKB/Swiss-Prot;Acc:P20270]	P20270		
WBGene00007929	dmd-10	C34D1.1	183202	Doublesex- and mab-3-related transcription factor dmd-10  [Source:UniProtKB/Swiss-Prot;Acc:G5EEJ1]	G5EEJ1		
WBGene00007932	zip-5	C34D1.5	183204	BZIP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EBE5]			
WBGene00000561	cnd-1	C34E10.7	183212	Neurogenic differentiation factor 1  [Source:UniProtKB/Swiss-Prot;Acc:P46581]	P46581		
WBGene00007943		C34F6.9	181312	USP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O17646]			
WBGene00003846	odd-2	C34H3.2	183219	Protein odd-skipped-related 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9N5X6]	Q9N5X6		
WBGene00007984	irx-1	C36F7.1	172789	Putative iroquois-class homeodomain protein irx-1  [Source:UniProtKB/Swiss-Prot;Acc:Q93348]	Q93348		
WBGene00000457	ceh-36	C37E2.4	181529	Homeobox protein ceh-36  [Source:UniProtKB/Swiss-Prot;Acc:Q93352]	Q93352		
WBGene00000458	ceh-37	C37E2.5	181530	Homeobox protein ceh-37  [Source:UniProtKB/Swiss-Prot;Acc:Q93356]	Q93356		
WBGene00002990	lin-1	C37F5.1	177016	ETS domain-containing protein; LIN-1  [Source:UniProtKB/TrEMBL;Acc:G5EDL0]		-1	
WBGene00003210	mel-28	C38D4.3	175634		Q18508		
WBGene00003912	pal-1	C38D4.6	175638	Homeobox protein pal-1  [Source:UniProtKB/Swiss-Prot;Acc:P34766]	P34766		1
WBGene00008007		C38D4.7	183310	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18512]			
WBGene00001252	elt-4	C39B10.6	181249	Probable transcription factor elt-4  [Source:UniProtKB/Swiss-Prot;Acc:Q8MQA7]	Q8MQA7	1	
WBGene00003377	mls-2	C39E6.4	180751	Homeobox protein mls-2  [Source:UniProtKB/Swiss-Prot;Acc:Q18533]	Q18533		
WBGene00006654	ttx-3	C40H5.5	181357	LIM/homeobox protein ttx-3  [Source:UniProtKB/Swiss-Prot;Acc:G5EE86]	G5EE86		
WBGene00008056	nhr-164	C41G6.5	183381	Nuclear hormone receptor family member nhr-164  [Source:UniProtKB/Swiss-Prot;Acc:O17657]	O17657		
WBGene00000096	ahr-1	C41G7.5	172788	Aryl hydrocarbon receptor protein 1  [Source:UniProtKB/Swiss-Prot;Acc:O44712]	O44712		1
WBGene00016600	ets-5	C42D8.4	180778	ETS domain-containing transcription factor ets-5  [Source:UniProtKB/Swiss-Prot;Acc:Q18579]	Q18579		
WBGene00001959	hlh-15	C43H6.8	183427	Helix-loop-helix protein 15  [Source:UniProtKB/Swiss-Prot;Acc:Q18590]	Q18590		
WBGene00008081	athp-1	C44B9.4	176517	PHD-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18605]		-1	
WBGene00001981	hnd-1	C44C10.8	183457	Hand transcription factor 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18612]	Q18612		
WBGene00008092	gmeb-3	C44F1.2	175487	SAND domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18624]			
WBGene00003654	nhr-64	C45E1.1	171884	Nuclear hormone receptor family member nhr-64  [Source:UniProtKB/Swiss-Prot;Acc:O44960]	O44960		
WBGene00003636	nhr-46	C45E5.6	177350	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:H2KZB8]			
WBGene00016712		C46E10.8	173716	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O44719]			
WBGene00008118	madf-8	C46F11.3	183517	MADF domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q93381]			
WBGene00016725		C46H3.2	3564865	Caskin-2  [Source:UniProtKB/TrEMBL;Acc:Q18662]			
WBGene00004335	ref-2	C47C12.3	183539	Zinc finger transcription factor ref-2  [Source:UniProtKB/Swiss-Prot;Acc:Q7JNM3]	Q7JNM3	1	
WBGene00008158	nhr-165	C47F8.2	183558	Nuclear receptor domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O62112]			
WBGene00006853	unc-130	C47G2.2	174721	Forkhead box protein unc-130  [Source:UniProtKB/Swiss-Prot;Acc:Q18694]	Q18694		
WBGene00003605	nhr-6	C48D5.1	175462	Nuclear hormone receptor family member nhr-6  [Source:UniProtKB/Swiss-Prot;Acc:P41829]	P41829	1	1
WBGene00016754	cebp-2	C48E7.11	172319	CCAAT/enhancer-binding protein homolog 2  [Source:UniProtKB/Swiss-Prot;Acc:Q8IG69]	Q8IG69		
WBGene00001377	eya-1	C49A1.4	173293	Eyes absent homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:O17670]	O17670		
WBGene00008195	ceh-88	C49C3.5	178514	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XUG3]			
WBGene00016798	ets-8	C50A2.4	183631	ETS domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O44138]			
WBGene00003719	nhr-129	C50B6.14	183635	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:A5JYV4]			
WBGene00008221	nhr-168	C50B6.8	353455	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:P91983]			
WBGene00008260		C52G5.2	181420	THAP4-like heme-binding beta-barrel domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18793]			
WBGene00016905	ztf-3	C53D5.4	171617	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:V6CKB8]			
WBGene00016930	madf-6	C54G6.1	171680	MADF domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H2KZF9]			
WBGene00000483	che-1	C55B7.12	183847	Transcription factor che-1  [Source:UniProtKB/Swiss-Prot;Acc:Q966L8]	Q966L8		
WBGene00016948	scrt-1	C55C2.1	183848	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O01830]			
WBGene00016997	cebp-1	D1005.3	180481	CCAAT/enhancer-binding protein homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:Q18909]	Q18909		
WBGene00000440	ceh-17	D1007.1	172059	Homeobox protein ceh-17  [Source:UniProtKB/Swiss-Prot;Acc:G5EC89]	G5EC89	1	
WBGene00008363		D1046.2	183908	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q18933]			
WBGene00006844	unc-120	D1081.2	172636	Serum response factor homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q18955]	Q18955		
WBGene00044071	dhhc-14	D2021.2	181109	Palmitoyltransferase  [Source:UniProtKB/TrEMBL;Acc:Q7Z127]			
WBGene00008417		D2030.7	172516	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:P90792]			
WBGene00001960	hlh-16	DY3.3	183973	BHLH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O45320]			
WBGene00003618	nhr-19	E02H1.7	174512	Nuclear hormone receptor family member nhr-19  [Source:UniProtKB/Swiss-Prot;Acc:Q09528]	Q09528		
WBGene00003711	nhr-121	E02H9.8	184003	Nuclear hormone receptor family member nhr-121  [Source:UniProtKB/Swiss-Prot;Acc:Q9TZ99]	Q9TZ99		
WBGene00003167	mec-3	F01D4.6	177938	Mechanosensory protein 3  [Source:UniProtKB/Swiss-Prot;Acc:P09088]	P09088		
WBGene00003014	lin-28	F02E9.2	172626		P92186		
WBGene00017198	nhr-36	F07C3.10	24104398	Nuclear hormone receptor E75  [Source:UniProtKB/TrEMBL;Acc:Q19155]			
WBGene00017317	attf-2	F09G2.9	179106	AT hook Transcription Factor family  [Source:UniProtKB/TrEMBL;Acc:O17406]			
WBGene00008640		F10B5.3	184285	BTB domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q09534]			
WBGene00017326	dmd-5	F10C1.5	184287	Doublesex- and mab-3-related transcription factor dmd-5  [Source:UniProtKB/Swiss-Prot;Acc:Q19291]	Q19291		
WBGene00017352		F10E7.11	174170	ELM2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19306]		-1	
WBGene00000908	daf-12	F11A1.3	181263	Nuclear hormone receptor family member daf-12  [Source:UniProtKB/Swiss-Prot;Acc:G5EFF5]	G5EFF5		
WBGene00008683	repo-1	F11A10.2	178147	Matrin-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19335]			
WBGene00003623	nhr-25	F11C1.6	181432	Nuclear hormone receptor family member nhr-25  [Source:UniProtKB/Swiss-Prot;Acc:Q19345]	Q19345	1	1
WBGene00017406	sdz-12	F12E12.5	184388	Zinc finger protein sdz-12  [Source:UniProtKB/Swiss-Prot;Acc:Q9BLC4]	Q9BLC4		
WBGene00001824	hbl-1	F13D11.2	180848	Hunchback-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9XYD3]	Q9XYD3	-1	
WBGene00007058	dmd-6	F13G11.1	178392	DM domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O62159]			
WBGene00008762	ztf-2	F13G3.1	184429	Zinc finger protein ztf-2  [Source:UniProtKB/Swiss-Prot;Acc:Q19418]	Q19418	-1	-1
WBGene00017430	bcl-11	F13H6.1	179019	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H2KZR6]			
WBGene00006870	vab-3	F14F3.1	181251	Paired box protein 6 homolog  [Source:UniProtKB/Swiss-Prot;Acc:G5EDS1]	G5EDS1		
WBGene00004773	sem-4	F15C11.1	172435	Spalt-like protein sem-4  [Source:UniProtKB/Swiss-Prot;Acc:G5EFF4]	G5EFF4		0
WBGene00008882		F16B12.6	181520	AAA domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q93520]			
WBGene00017503	nhr-177	F16B4.1	184557	NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O61203]			
WBGene00017512	nhr-179	F16B4.11	184562	NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AUS9]			
WBGene00017510	nhr-178	F16B4.9	184560	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:O44635]			
WBGene00000428	ceh-1	F16H11.4	191614	Homeobox protein ceh-1  [Source:UniProtKB/Swiss-Prot;Acc:P53547]	P53547		
WBGene00003635	nhr-45	F16H11.5	180738	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q19496]			
WBGene00000461	ceh-40	F17A2.5	191624	Homeobox protein ceh-40  [Source:UniProtKB/Swiss-Prot;Acc:Q19503]	Q19503		
WBGene00017535	atf-8	F17A9.3	178998	BZIP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O16213]			
WBGene00017538	ceh-49	F17A9.6	179001	One cut domain family member  [Source:UniProtKB/TrEMBL;Acc:O16218]			
WBGene00003012	lin-26	F18A1.2	3565051	Transcription factor lin-26  [Source:UniProtKB/Swiss-Prot;Acc:Q27355]	Q27355		
WBGene00003044	lir-1	F18A1.3	174240	LIn-26 Related  [Source:UniProtKB/TrEMBL;Acc:U4PMZ1]			
WBGene00004750	sea-1	F19B10.9	173710	T-box transcription factor 18  [Source:UniProtKB/Swiss-Prot;Acc:O02073]	O02073	1	
WBGene00017598		F19F10.1	184684	ETS domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O01521]			
WBGene00017601	ets-7	F19F10.5	184687	ETS domain-containing protein ets-7  [Source:UniProtKB/Swiss-Prot;Acc:O01519]	O01519		
WBGene00000442	ceh-19	F20D12.6	177590	Homeobox protein ceh-19  [Source:UniProtKB/Swiss-Prot;Acc:P26797]	P26797		
WBGene00008999	myrf-2	F21A10.2	181229	"Myelin regulatory factor homolog 2 Myelin regulatory factor homolog 2, N-terminal Myelin regulatory factor homolog 2, C-terminal [Source:UniProtKB/Swiss-Prot;Acc:D9PTN5]"	D9PTN5		
WBGene00003620	nhr-21	F21D12.1	174202	NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H2KZU2]			
WBGene00017664	npax-1	F21D12.5	184779	Paired domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19677]			
WBGene00006543	tbx-2	F21H11.3	175698	T-box protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q19691]	Q19691		-1
WBGene00017687	ets-4	F22A3.1	180927	Transcription factor ets-4  [Source:UniProtKB/Swiss-Prot;Acc:A8WFJ9]	A8WFJ9		0
WBGene00017690	ceh-60	F22A3.5	184803	Homeobox protein ceh-60  [Source:UniProtKB/Swiss-Prot;Acc:Q45EK2]	Q45EK2		0
WBGene00000459	ceh-38	F22D3.1	174136	Homeobox protein ceh-38  [Source:UniProtKB/Swiss-Prot;Acc:Q19720]	Q19720		
WBGene00009050	mstr-1	F22D6.2	172441	AN1-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19723]			
WBGene00009084		F23B12.7	179947		Q19753		
WBGene00017755	zip-8	F23F12.9	175924	bZIP transcription factor 8  [Source:UniProtKB/Swiss-Prot;Acc:P46505]	P46505		
WBGene00003847	blmp-1	F25D7.3	172917	B lymphocyte-induced maturation protein 1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q93560]	Q93560		
